application,service,application_env,desired_replication,requests_memory_quota,requests_cpu_quota,limits_cpu_quota,limits_memory_quota,environment_master,target_port,app_port,readiness_probe_path,readiness_probe_port,readiness_initial_delay_seconds,readiness_period_seconds,readiness_timeout_seconds,readinesss_failure_threshold,job_template,registry_name
airtel-africa,airtel-africa-login,dev-zm,1,1000,500,2000,1000,dev,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-python-app,dev-zm,1,1000,500,2000,1000,dev,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-salary,dev-zm,1,1000,500,2000,1000,dev,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-login,dev-ug,1,1000,500,2000,1000,dev,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-python-app,dev-ug,1,1000,500,2000,1000,dev,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-salary,dev-ug,1,1000,500,2000,1000,dev,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-login,dev-ke,1,1000,500,2000,1000,dev,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-python-app,dev-ke,1,1000,500,2000,1000,dev,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-salary,dev-ke,1,1000,500,2000,1000,dev,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-login,qa-zm,1,1000,500,2000,1000,qa,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-python-app,qa-zm,1,1000,500,2000,1000,qa,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-salary,qa-zm,1,1000,500,2000,1000,qa,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-login,qa-ug,1,1000,500,2000,1000,qa,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-python-app,qa-ug,1,1000,500,2000,1000,qa,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-salary,qa-ug,1,1000,500,2000,1000,qa,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-login,qa-ke,1,1000,500,2000,1000,qa,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-python-app,qa-ke,1,1000,500,2000,1000,qa,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-salary,qa-ke,1,1000,500,2000,1000,qa,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-login,prod-zm,1,1000,500,2000,1000,prod,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-python-app,prod-zm,1,1000,500,2000,1000,prod,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-salary,prod-zm,1,1000,500,2000,1000,prod,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-login,prod-ug,1,1000,500,2000,1000,prod,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-python-app,prod-ug,1,1000,500,2000,1000,prod,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-salary,prod-ug,1,1000,500,2000,1000,prod,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-login,prod-ke,1,1000,500,2000,1000,prod,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-python-app,prod-ke,1,1000,500,2000,1000,prod,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
airtel-africa,airtel-africa-salary,prod-ke,1,1000,500,2000,1000,prod,8093,9080,'/test/healthCheck',8093,30,5,10,5,basic-ci-v2,bp
